TTS Zone,%_No_Veh
1001,0.0820
1004,0.2165
1014,0.4725
1015,0.4312
1016,0.5234
1017,0.4384
1018,0.6462
1019,0.4611
1020,0.1048
1021,0.7459
1022,0.5968
1023,0.7055
1024,0.6450
1025,0.5140
1026,0.5496
1027,0.3464
1028,0.4692
1029,0.3755
1030,0.3949
1032,0.0000
1033,1.0000
1034,0.5816
1035,0.4788
1036,0.4418
1037,0.7027
1038,0.5460
1039,0.7193
1040,0.7791
1041,0.5987
1042,0.6959
1043,0.4903
1044,0.4527
1045,0.4363
1046,0.6856
1047,0.5213
1048,0.7137
1049,0.6658
1050,0.5961
1051,0.6379
1053,0.5792
1054,0.2600
1055,0.6504
1056,0.6027
1057,0.3134
1059,0.5536
1060,0.4588
1061,0.3187
1062,0.5891
1063,0.5895
1064,0.3166
1065,0.0000
1066,0.5134
1067,0.5975
1068,0.7434
1069,0.3738
1070,0.5567
1071,0.8471
1072,0.7917
1073,0.8254
1074,0.5563
1075,0.5846
1076,0.5831
1077,0.5166
1078,0.4685
1079,0.6619
1080,0.5993
1081,0.5038
1082,0.4726
1083,0.4483
1084,0.5632
1085,0.3370
1087,0.4198
1092,0.3775
1093,0.3600
1094,0.4752
1095,0.3815
1096,0.4000
1097,0.2841
1098,0.4624
1099,0.3798
1100,0.3529
1101,0.5000
1102,0.5389
1103,0.2683
1104,0.3462
1105,0.5520
1106,0.3659
1107,0.4893
1108,0.6196
1109,0.6291
1110,0.6938
1111,0.4366
1112,0.4619
1113,0.4461
1114,0.2363
1115,0.5395
1116,0.3593
1117,0.3353
1118,0.7003
1119,0.6416
1122,0.6349
1123,0.3624
1124,0.3699
1125,0.3607
1126,0.4752
1127,0.4451
1128,0.3140
1129,0.5018
1130,0.1690
1131,0.2339
1132,0.1947
1133,0.0339
1134,0.2336
1135,0.2525
1136,0.0488
1137,0.1875
1138,0.1378
1139,0.0882
1140,0.1551
1141,0.2340
1142,0.1804
1143,0.3587
1144,0.0584
1145,0.0201
1147,0.2843
1148,0.3269
1149,0.2172
1150,0.1496
1152,0.3389
1153,0.2750
1154,0.5478
1155,0.1386
1156,0.2813
1157,0.5349
1158,0.0988
1159,0.3808
1160,0.1811
1161,0.3837
1162,0.3173
1163,0.5056
1164,0.2337
1165,0.2996
1166,0.1998
1168,0.1583
1169,0.1838
1171,0.0000
1172,0.3254
1173,0.1959
1174,0.3024
1175,0.1680
1176,0.2425
1177,0.2482
1178,0.3853
1179,0.5455
1180,0.3010
1181,0.4220
1182,0.3589
1183,0.2123
1184,0.4705
1185,0.2179
1186,0.5012
1187,0.4674
1188,0.3094
1189,0.1608
1190,0.1398
1191,0.0000
1192,0.3517
1193,0.2563
1194,0.1283
1195,0.2242
1196,0.2460
1197,0.2293
1198,0.4230
1199,0.3647
1200,0.1248
1201,0.0333
1202,0.3556
1203,0.2601
1204,0.0754
1205,0.1562
1206,0.1068
1207,0.1085
1208,0.1955
1209,0.0000
1210,0.0755
1211,0.3879
1212,0.3273
1213,0.4301
1214,0.3422
1215,0.4036
1216,0.2717
1217,0.2484
1218,0.0583
1219,0.0392
1220,0.0000
1221,0.4313
1222,0.1982
1223,0.5351
1224,0.8075
1225,0.5068
1226,0.3938
1227,0.2145
1228,0.1293
1229,0.1018
1230,0.1603
1231,0.0960
1232,0.0749
1233,0.0989
1234,0.0556
1236,0.2884
1237,0.2323
1238,0.2206
1239,0.0000
1240,0.0000
1241,0.0000
1242,0.0374
1243,0.1471
1244,0.0321
1246,0.2321
1247,0.1470
1248,0.0881
1249,0.0094
1250,0.0000
1251,0.0427
1252,0.1154
1253,0.1924
1255,0.2193
1256,0.1183
1258,0.1239
1259,0.1666
1260,0.2363
1262,0.2832
1263,0.1597
1264,0.2569
1265,0.4478
1266,0.5414
1267,0.1145
1268,0.1458
1269,0.3152
1270,0.2716
1271,0.3091
1272,0.3282
1273,0.1148
1274,0.0000
1275,0.1299
1276,0.4932
1277,0.4773
1278,0.2472
1279,0.2187
1280,0.2857
1281,0.3656
1282,0.2837
1283,0.1774
1284,0.1649
1285,0.3457
1286,0.4335
1287,0.2894
1288,0.3551
1289,0.5446
1290,0.2338
1291,0.2219
1292,0.2654
1293,0.2985
1294,0.3653
1295,0.2574
1296,0.1522
1297,0.1174
1298,0.4727
1299,0.1802
1300,0.4836
1301,0.4164
1302,0.0000
1303,0.2073
1304,0.1396
1305,0.0993
1306,0.2201
1307,0.1455
1308,0.1347
1309,0.0000
1310,0.0985
1311,0.4204
1314,0.2579
1315,0.1049
1316,0.1210
1317,0.0000
1318,0.0499
1319,0.1281
1321,0.1124
1322,0.1112
1323,0.0507
1324,0.0000
1325,0.2989
1326,0.0864
1327,0.0537
1328,0.0897
1330,0.1058
1333,0.2637
1334,0.2762
1335,0.0120
1336,0.0189
1337,0.0589
1338,0.1272
1339,0.0580
1340,0.0977
1341,0.0000
1342,0.0191
1343,0.0054
1344,0.1751
1345,0.0733
1346,0.0595
1347,0.0874
1348,0.3168
1349,0.1155
1350,0.1001
1351,0.0405
1352,0.3388
1353,0.1426
1354,0.0186
1355,0.0882
1356,0.0000
1357,0.0445
1358,0.0661
1359,0.0000
1360,0.0000
1361,0.0969
1362,0.1360
1363,0.1531
1364,0.0420
1365,0.0370
1366,0.0239
1367,0.1009
1368,0.1132
1369,0.1128
1370,0.1430
1371,0.0215
1372,0.1035
1373,0.0313
1374,0.2571
1375,0.0000
1384,0.3330
1385,0.0985
1386,0.0885
1387,0.0602
1389,0.0649
1390,0.0548
1391,0.0958
1392,0.3660
1393,0.1101
1394,0.3826
1395,0.0073
1396,0.1305
1397,0.1462
1398,0.0150
1401,0.0428
1402,0.1554
1403,0.0467
1404,0.1309
1405,0.1792
1406,0.1780
1407,0.0000
1410,0.2967
1411,0.3667
1412,0.5278
1417,0.3510
1418,0.1496
1419,0.5083
1420,0.0503
1421,0.2760
1422,0.1676
1424,0.2142
1425,0.3003
1426,0.3315
1427,0.1115
1428,0.0471
1429,0.3865
1430,0.3102
1431,0.0000
1432,0.3201
1433,0.3600
1434,0.0876
1435,0.2754
1436,0.2042
1437,0.1100
1438,0.2057
1439,0.1928
1440,0.2066
1444,0.1175
1446,0.0288
1447,0.2202
1448,0.2471
1449,0.0263
1450,0.1937
1451,0.1454
1452,0.0699
1453,0.0841
1454,0.0938
1455,0.2936
1456,0.1399
1457,0.0000
1458,0.1113
1459,0.1014
1460,0.1838
1461,0.0456
1462,0.0201
1463,0.3493
1464,0.0701
1465,0.1140
1466,0.3177
1467,0.3415
1468,0.1799
1469,0.3624
1470,0.3128
1471,0.1132
1472,0.1747
1473,0.2148
1474,0.0553
1475,0.2803
1476,0.2460
1477,0.1451
1478,0.2596
1479,0.0000
1480,0.2408
1481,0.2209
1482,0.0448
1483,0.0214
1484,0.1865
1485,0.0000
1486,0.0801
1487,0.0200
1488,0.1164
1489,0.0929
1490,0.0110
1491,0.1827
1492,0.2117
1493,0.1616
1494,0.1704
1495,0.1228
1496,0.2293
1497,0.0355
1498,0.3396
1499,0.0352
1501,0.0000
1502,0.2676
1503,0.0819
1504,0.0881
1505,0.1220
1506,0.1472
1507,0.0641
1508,0.1807
1509,0.2938
1510,0.0664
1511,0.2943
1512,0.1334
