Region,TTS Zone,Population,Total Households,Number of Vehicles,Households without vehicles,Percentage No_Veh
1,1001,2545,1147,1052,94,0.082
1,1004,234,97,77,21,0.2165
1,1014,2582,1545,816,730,0.4725
1,1015,2668,1716,976,740,0.4312
1,1016,3487,2264,1078,1185,0.5234
1,1017,7848,3873,2175,1698,0.4384
1,1018,4940,2459,870,1589,0.6462
1,1019,1772,759,408,350,0.4611
1,1020,1513,544,488,57,0.1048
1,1021,18264,9580,2434,7146,0.7459
1,1022,7527,4896,1975,2922,0.5968
1,1023,5489,3375,995,2381,0.7055
1,1024,5598,3330,1182,2148,0.645
1,1025,8289,5325,2588,2737,0.514
1,1026,5298,3064,1380,1684,0.5496
1,1027,1028,511,334,177,0.3464
1,1028,1387,859,457,403,0.4692
1,1029,1187,695,434,261,0.3755
1,1030,1744,1132,685,447,0.3949
1,1032,38,19,19,0,0
1,1033,72,36,0,36,1
1,1034,5545,3470,1453,2018,0.5816
1,1035,3291,1957,1021,937,0.4788
1,1036,2382,1668,930,737,0.4418
1,1037,6654,3993,1188,2806,0.7027
1,1038,7635,4326,1965,2362,0.546
1,1039,2796,2145,602,1543,0.7193
1,1040,4504,3250,717,2532,0.7791
1,1041,6606,4231,1697,2533,0.5987
1,1042,8404,5637,1713,3923,0.6959
1,1043,4011,2433,1240,1193,0.4903
1,1044,3327,2030,1112,919,0.4527
1,1045,4857,3023,1705,1319,0.4363
1,1046,8046,5082,1599,3484,0.6856
1,1047,3918,2394,1146,1248,0.5213
1,1048,4684,3032,867,2164,0.7137
1,1049,627,383,128,255,0.6658
1,1050,8129,4548,1837,2711,0.5961
1,1051,1843,1229,445,784,0.6379
1,1053,1455,922,388,534,0.5792
1,1054,156,100,75,26,0.26
1,1055,909,595,208,387,0.6504
1,1056,93,73,29,44,0.6027
1,1057,285,201,138,63,0.3134
1,1059,1296,840,375,465,0.5536
1,1060,5229,3213,1738,1474,0.4588
1,1061,3813,2099,1430,669,0.3187
1,1062,4745,3142,1290,1851,0.5891
1,1063,3617,1988,817,1172,0.5895
1,1064,6439,3645,2491,1154,0.3166
1,1065,91,63,63,0,0
1,1066,7132,4365,2124,2241,0.5134
1,1067,9271,6534,2630,3904,0.5975
1,1068,4917,2946,756,2190,0.7434
1,1069,1256,634,397,237,0.3738
1,1070,2836,1525,676,849,0.5567
1,1071,1037,700,107,593,0.8471
1,1072,28,24,5,19,0.7917
1,1073,482,441,77,364,0.8254
1,1074,8613,5256,2331,2924,0.5563
1,1075,6552,3361,1397,1965,0.5846
1,1076,4197,2178,908,1270,0.5831
1,1077,2610,1117,540,577,0.5166
1,1078,2536,1351,718,633,0.4685
1,1079,3660,1881,636,1245,0.6619
1,1080,5753,3933,1576,2357,0.5993
1,1081,5280,3535,1753,1781,0.5038
1,1082,10619,6306,3326,2980,0.4726
1,1083,3232,1829,1010,820,0.4483
1,1084,535,277,121,156,0.5632
1,1085,1140,730,485,246,0.337
1,1087,9454,5753,3339,2415,0.4198
1,1092,10157,6496,4045,2452,0.3775
1,1093,4621,2875,1839,1035,0.36
1,1094,2397,1370,720,651,0.4752
1,1095,5698,3237,2001,1235,0.3815
1,1096,3372,1600,960,640,0.4
1,1097,3808,1876,1343,533,0.2841
1,1098,7770,3380,1817,1563,0.4624
1,1099,6130,2646,1641,1005,0.3798
1,1100,4644,1774,1149,626,0.3529
1,1101,2783,1420,710,710,0.5
1,1102,3893,1722,794,928,0.5389
1,1103,4159,1573,1151,422,0.2683
1,1104,4983,2360,1543,817,0.3462
1,1105,6117,3638,1630,2008,0.552
1,1106,4896,2132,1351,780,0.3659
1,1107,1975,1024,524,501,0.4893
1,1108,5587,2802,1066,1736,0.6196
1,1109,2348,1321,490,831,0.6291
1,1110,1777,983,301,682,0.6938
1,1111,4037,1523,858,665,0.4366
1,1112,12725,6331,3408,2924,0.4619
1,1113,5166,2226,1233,993,0.4461
1,1114,3497,1346,1029,318,0.2363
1,1115,1785,1077,495,581,0.5395
1,1116,2564,1141,731,410,0.3593
1,1117,7211,3495,2323,1172,0.3353
1,1118,2434,1535,460,1075,0.7003
1,1119,7640,4311,1544,2766,0.6416
1,1122,5270,3103,1134,1970,0.6349
1,1123,5595,2155,1374,781,0.3624
1,1124,4176,2076,1308,768,0.3699
1,1125,4047,1777,1136,641,0.3607
1,1126,5372,2418,1270,1149,0.4752
1,1127,3018,1476,819,657,0.4451
1,1128,2173,946,649,297,0.314
1,1129,11709,6744,3360,3384,0.5018
1,1130,5763,2763,2295,467,0.169
1,1131,954,449,344,105,0.2339
1,1132,9049,4386,3531,854,0.1947
1,1133,3891,1357,1311,46,0.0339
